filename,bbox_x1,bbox_y1,bbox_x2,bbox_y2,class_id,class_name,is_test
00001.jpg,39,116,569,375,14,Audi TTS Coupe 2012,0
00002.jpg,36,116,868,587,3,Acura TL Sedan 2012,0
00003.jpg,85,109,601,381,91,Dodge Dakota Club Cab 2007,0
00004.jpg,621,393,1484,1096,134,Hyundai Sonata Hybrid Sedan 2012,0
00005.jpg,14,36,133,99,106,Ford F-450 Super Duty Crew Cab 2012,0
00006.jpg,259,289,515,416,123,Geo Metro Convertible 1993,0
00007.jpg,88,80,541,397,89,Dodge Journey SUV 2012,0
00008.jpg,73,79,591,410,96,Dodge Charger Sedan 2012,0
00009.jpg,20,126,1269,771,167,Mitsubishi Lancer Sedan 2012,0
00010.jpg,21,110,623,367,58,Chevrolet Traverse SUV 2012,0
00011.jpg,51,93,601,393,49,Buick Verano Sedan 2012,0
00012.jpg,6,62,499,286,186,Toyota Sequoia SUV 2012,0
00013.jpg,30,36,418,307,135,Hyundai Elantra Sedan 2007,0
00014.jpg,31,246,778,540,85,Dodge Caravan Minivan 1997,0
00015.jpg,32,77,589,379,193,Volvo C30 Hatchback 2012,0
00016.jpg,27,49,611,396,172,Plymouth Neon Coupe 1999,0
00017.jpg,39,52,233,150,14,Audi TTS Coupe 2012,0
00018.jpg,3,8,190,147,73,Chevrolet Malibu Sedan 2007,0
00019.jpg,247,287,1366,761,192,Volkswagen Beetle Hatchback 2012,0
00020.jpg,17,281,961,596,57,Chevrolet Corvette Ron Fellows Edition Z06 2007,0
00021.jpg,17,156,695,375,79,Chrysler 300 SRT-8 2010,0
00022.jpg,212,538,1893,1131,36,BMW M6 Convertible 2010,0
00023.jpg,11,28,476,234,120,GMC Yukon Hybrid SUV 2012,0
00024.jpg,53,126,973,621,170,Nissan Juke Hatchback 2012,0
00025.jpg,34,87,567,343,194,Volvo 240 Sedan 1993,0
00026.jpg,30,174,598,379,134,Hyundai Sonata Hybrid Sedan 2012,0
00027.jpg,80,107,606,336,184,Suzuki SX4 Sedan 2012,0
00028.jpg,45,115,585,382,86,Dodge Ram Pickup 3500 Crew Cab 2010,0
00029.jpg,28,139,1564,1126,180,Spyker C8 Coupe 2009,0
00030.jpg,82,109,874,521,194,Volvo 240 Sedan 1993,0
00031.jpg,55,318,446,564,154,Land Rover Range Rover SUV 2012,0
00032.jpg,12,31,471,350,139,Hyundai Elantra Touring Hatchback 2012,0
00033.jpg,34,197,1011,656,66,Chevrolet Cobalt SS 2010,0
00034.jpg,37,63,614,397,133,Hyundai Veracruz SUV 2012,0
00035.jpg,223,87,1111,670,154,Land Rover Range Rover SUV 2012,0
00036.jpg,138,41,521,223,104,Ferrari 458 Italia Coupe 2012,0
00037.jpg,31,87,616,344,38,BMW Z4 Convertible 2012,0
00038.jpg,16,89,459,326,97,Dodge Charger SRT-8 2009,0
00039.jpg,53,113,614,350,105,Fisker Karma Sedan 2012,0
00040.jpg,214,110,660,403,142,Infiniti QX56 SUV 2011,0
00041.jpg,61,55,566,408,13,Audi A5 Coupe 2012,0
00042.jpg,28,61,622,371,191,Volkswagen Golf Hatchback 1991,0
00043.jpg,22,39,588,362,119,GMC Savana Van 2012,0
00044.jpg,220,193,537,364,38,BMW Z4 Convertible 2012,0
